iter	Logloss
0	0.6464348853
1	0.613341349
2	0.5907308192
3	0.5710972199
4	0.5568237305
5	0.5414075481
6	0.530524443
7	0.521123968
8	0.5112538094
9	0.5049242515
10	0.4979771651
11	0.4901212915
12	0.484817068
13	0.4774414562
14	0.4716687037
15	0.4663146473
16	0.4627129802
17	0.4599718589
18	0.4570756222
19	0.4541490863
20	0.4509213063
21	0.4490729646
22	0.4460207387
23	0.44418906
24	0.4406184409
25	0.4386596368
26	0.4366858859
27	0.4349521255
28	0.4334930857
29	0.4314523709
30	0.4297919088
31	0.4276653516
32	0.4265272768
33	0.4242020745
34	0.423422753
35	0.4216250554
36	0.4202513275
37	0.4194494766
38	0.4162185451
39	0.4156119692
40	0.4144723342
41	0.4129945408
42	0.4121287839
43	0.4104457301
44	0.4097806154
45	0.4093201682
46	0.4082501807
47	0.407645009
48	0.40723842
49	0.4062913142
50	0.4055167044
51	0.404734356
52	0.4038804879
53	0.403239494
54	0.4024161434
55	0.4016770127
56	0.4011908221
57	0.4002025893
58	0.3993695655
59	0.3989887511
60	0.3985014683
61	0.3981224637
62	0.3977199937
63	0.3972387957
64	0.3969189228
65	0.3963957242
66	0.3961295223
67	0.395301304
68	0.3949829601
69	0.3943729206
70	0.3940332955
71	0.3935716625
72	0.3931789281
73	0.3906870337
74	0.3898614365
75	0.3895506127
76	0.3892040292
77	0.3886555241
78	0.3878814136
79	0.3873691052
80	0.3868786084
81	0.3863735082
82	0.3859234519
83	0.3853266741
84	0.3848067208
85	0.384486099
86	0.3839692036
87	0.3836804723
88	0.3832102895
89	0.3827055325
90	0.3823903402
91	0.3820955553
92	0.3816714921
93	0.3812968872
94	0.3807829874
95	0.3805180649
96	0.3802661857
97	0.3793761209
98	0.378846619
99	0.3772226969
100	0.3768064347
101	0.3763511049
102	0.3759441415
103	0.3751012572
104	0.3747852224
105	0.3744850393
106	0.374063878
107	0.3732405899
108	0.3729202489
109	0.3724396438
110	0.3722036787
111	0.3719821298
112	0.3714472297
113	0.3710286583
114	0.3700726905
115	0.3695555143
116	0.3691734517
117	0.3687113818
118	0.3682485631
119	0.367934775
120	0.3675426647
121	0.3671370118
122	0.3665926257
123	0.3658562409
124	0.3654238461
125	0.3651058766
126	0.364834214
127	0.3645989978
128	0.3641771812
129	0.3638049167
130	0.3634260681
131	0.3629219976
132	0.3624816458
133	0.3620288435
134	0.3615971353
135	0.3612666218
136	0.3610081273
137	0.3606693135
138	0.3603426381
139	0.3600306599
140	0.3597654253
141	0.3595111433
142	0.3592242844
143	0.358513955
144	0.3582095905
145	0.3577807842
146	0.3575131157
147	0.3572568679
148	0.3568491555
149	0.3564388845
150	0.3561468456
151	0.3559208033
152	0.3555036986
153	0.3552736622
154	0.3548339032
155	0.3544846673
156	0.3540525534
157	0.3538109715
158	0.3536565114
159	0.3533242817
160	0.3530674098
161	0.352765292
162	0.3526208484
163	0.3523564875
164	0.3516611049
165	0.351344914
166	0.3510761534
167	0.3507710712
168	0.350318425
169	0.3500833336
170	0.349862908
171	0.3495181967
172	0.3493672002
173	0.349227718
174	0.3488136401
175	0.3484671189
176	0.3480650857
177	0.3477795685
178	0.3475182656
179	0.3473482034
180	0.3470908947
181	0.3467257447
182	0.3463389391
183	0.3461085282
184	0.3458650117
185	0.3456690502
186	0.3454892835
187	0.3452868315
188	0.3450211601
189	0.3446790699
190	0.3444808617
191	0.344357824
192	0.3440489038
193	0.3438564683
194	0.3436563878
195	0.3432876181
196	0.3430634169
197	0.3428316955
198	0.3426308973
199	0.342475345
